tableName,columnType,columnName,,,,,
fch_contentlog,LongType,filesize,,,,LongType,9
fch_contentlog,StringType,msg,,,,ShortType,4
fch_contentlog,StringType,connmode,,,,StringType,46
fch_contentlog,StringType,heuristic,,,,TimestampType,3
fch_contentlog,StringType,srcip,,,,fgt_netscan,58
fch_contentlog,IntegerType,srcport,,,,IntegerType,9
fch_contentlog,StringType,dstip,,,,LongType,10
fch_contentlog,IntegerType,dstport,,,,ShortType,2
fch_contentlog,LongType,duration,,,,StringType,35
fch_contentlog,StringType,reason,,,,TimestampType,2
fch_contentlog,StringType,phone,,,,fgt_ssh,44
fch_contentlog,StringType,custom_field1,,,,IntegerType,9
fch_contentlog,StringType,dlpsensor,,,,LongType,4
fch_contentlog,StringType,messagetype,,,,ShortType,1
fch_contentlog,StringType,requestname,,,,StringType,27
fch_contentlog,StringType,malformdesc,,,,TimestampType,3
fch_contentlog,LongType,malformdata,,,,fgt_ssl,45
fch_contentlog,StringType,line,,,,IntegerType,9
fch_contentlog,LongType,column,,,,LongType,4
fch_contentlog,StringType,profiletype,,,,ShortType,2
fch_contentlog,StringType,hostname,,,,StringType,27
fch_contentlog,StringType,agent,,,,TimestampType,3
fch_contentlog,StringType,dstintf,,,,fgt_traffic,171
fch_contentlog,StringType,dstname,,,,IntegerType,31
fch_contentlog,LongType,serial,,,,LongType,24
fch_contentlog,StringType,srcintf,,,,ShortType,5
fch_contentlog,StringType,srcname,,,,StringType,108
fch_dlp,LongType,id,,,,TimestampType,3
fch_dlp,IntegerType,bid,,,,fgt_virus,74
fch_dlp,StringType,devid,,,,IntegerType,9
fch_dlp,TimestampType,itime,,,,LongType,8
fch_dlp,TimestampType,dtime,,,,ShortType,3
fch_dlp,IntegerType,euid,,,,StringType,51
fch_dlp,IntegerType,epid,,,,TimestampType,3
fch_dlp,IntegerType,dsteuid,,,,fgt_voip,61
fch_dlp,IntegerType,dstepid,,,,IntegerType,12
fch_dlp,IntegerType,logflag,,,,LongType,8
fch_dlp,IntegerType,logver,,,,ShortType,2
fch_dlp,LongType,sfsid,,,,StringType,36
fch_dlp,StringType,vd,,,,TimestampType,3
fch_dlp,StringType,logid,,,,fgt_waf,51
fch_dlp,StringType,type,,,,IntegerType,9
fch_dlp,StringType,subtype,,,,LongType,5
fch_dlp,StringType,level,,,,ShortType,2
fch_dlp,LongType,sessionid,,,,StringType,32
fch_dlp,StringType,user,,,,TimestampType,3
fch_dlp,StringType,group,,,,fgt_webfilter,96
fch_dlp,StringType,srcip,,,,IntegerType,13
fch_dlp,IntegerType,srcport,,,,LongType,16
fch_dlp,StringType,srcintf,,,,ShortType,4
fch_dlp,StringType,dstip,,,,StringType,60
fch_dlp,IntegerType,dstport,,,,TimestampType,3
fch_dlp,StringType,dstintf,,,,fmg_event,171
fch_dlp,StringType,service,,,,IntegerType,40
fch_dlp,StringType,hostname,,,,LongType,19
fch_dlp,StringType,url,,,,ShortType,14
fch_dlp,StringType,agent,,,,StringType,96
fch_dlp,StringType,from,,,,TimestampType,2
fch_dlp,StringType,to,,,,fml_event,25
fch_dlp,StringType,sender,,,,IntegerType,7
fch_dlp,StringType,recipient,,,,LongType,1
fch_dlp,StringType,msg,,,,StringType,15
fch_dlp,StringType,action,,,,TimestampType,2
fch_dlp,StringType,severity,,,,fml_history,38
fch_dlp,StringType,filetype,,,,IntegerType,7
fch_dlp,StringType,filename,,,,LongType,2
fch_dlp,LongType,sentbyte,,,,StringType,27
fch_dlp,LongType,rcvdbyte,,,,TimestampType,2
fch_dlp,StringType,docsource,,,,fml_spam,26
fch_dlp,StringType,sensitivity,,,,IntegerType,7
fch_dlp,StringType,subject,,,,LongType,2
fch_dlp,StringType,profile,,,,StringType,15
fch_dlp,LongType,epoch,,,,TimestampType,2
fch_dlp,LongType,eventid,,,,fml_virus,24
fch_dlp,StringType,mmsdir,,,,IntegerType,7
fch_dlp,StringType,eventtype,,,,LongType,2
fch_dlp,LongType,filteridx,,,,StringType,13
fch_dlp,StringType,filtername,,,,TimestampType,2
fch_dlp,StringType,filtertype,,,,fna_event,25
fch_dlp,StringType,dlpextra,,,,IntegerType,7
fch_dlp,StringType,filtercat,,,,LongType,2
fch_dlp,ShortType,proto,,,,StringType,14
fch_dlp,StringType,direction,,,,TimestampType,2
fch_dlp,LongType,filesize,,,,fpx_app_ctrl,64
fch_ips,LongType,id,,,,IntegerType,9
fch_ips,IntegerType,bid,,,,LongType,10
fch_ips,StringType,devid,,,,ShortType,1
fch_ips,TimestampType,itime,,,,StringType,41
fch_ips,TimestampType,dtime,,,,TimestampType,3
fch_ips,IntegerType,euid,,,,fpx_dlp,65
fch_ips,IntegerType,epid,,,,IntegerType,9
fch_ips,IntegerType,dsteuid,,,,LongType,10
fch_ips,IntegerType,dstepid,,,,ShortType,1
fch_ips,IntegerType,logflag,,,,StringType,42
fch_ips,IntegerType,logver,,,,TimestampType,3
fch_ips,LongType,sfsid,,,,fpx_dns,48
fch_ips,StringType,vd,,,,IntegerType,11
fch_ips,StringType,logid,,,,LongType,3
fch_ips,StringType,type,,,,ShortType,3
fch_ips,StringType,subtype,,,,StringType,28
fch_ips,StringType,level,,,,TimestampType,3
fch_ips,LongType,sessionid,,,,fpx_emailfilter,53
fch_ips,LongType,attackid,,,,IntegerType,9
fch_ips,StringType,severity,,,,LongType,6
